title,contentType,rating,votes,cluster
Utopiayile Rajavu,movie,3.5,347.0,4
Don't Crack Under Pressure,movie,6.5,347.0,3
Radio Heimat,movie,6.3,347.0,4
Desert of Blood,movie,3.4,347.0,5
Reunion in Vienna,movie,6.1,347.0,4
Mike Says Goodbye!,movie,6.7,347.0,4
Como Nascem os Anjos,movie,7.0,347.0,4
Goonland,movie,7.7,347.0,6
Corny Casanovas,movie,7.4,347.0,6
Hunting Grounds,movie,2.6,347.0,5
How to Meet Girls from a Distance,movie,6.0,347.0,4
Casual Day,movie,5.9,347.0,4
Hamateur Night,movie,6.5,347.0,6
Um Funeral à Chuva,movie,6.4,347.0,4
North Atlantic,movie,8.0,347.0,6
Pekka ja Pätkä puistotäteinä,movie,5.3,347.0,4
By Night with Torch and Spear,movie,6.2,347.0,6
Pekka ja Pätkä Suezilla,movie,5.4,347.0,4
Blondie Goes to College,movie,6.1,346.0,4
Edge of the Knife,movie,6.6,346.0,1
Pandora Peaks,movie,3.9,346.0,3
Ben & Jody,movie,5.3,346.0,2
The Princess and the Pea,movie,6.2,346.0,2
Sergeant Ryker,movie,6.2,346.0,4
Tamanna,movie,7.1,346.0,4
How to Seduce Your Teacher,movie,4.7,346.0,4
Over Drive,movie,5.8,346.0,4
The Second Front,movie,3.9,346.0,4
Measure for Measure,movie,5.6,346.0,4
C.L.E.A.N.,movie,6.7,346.0,5
The Vengeance of Doctor Mabuse,movie,4.1,346.0,5
The Conscientious Objector,movie,8.1,346.0,3
14 Going on 30,movie,6.3,346.0,4
Last Sunset,movie,4.3,346.0,5
Little Treasure,movie,5.0,346.0,4
The Second,movie,5.0,346.0,5
Love 65,movie,6.2,346.0,4
Reach,movie,5.8,346.0,4
Rucker,movie,2.9,346.0,5
Suburban Birds,movie,6.2,346.0,4
Isoken,movie,6.4,346.0,4
Illuminated,movie,5.0,346.0,3
Studs Lonigan,movie,5.0,346.0,4
Protecting the King,movie,4.5,346.0,4
Khachar Bhitor Ochin Pakhi,movie,7.4,346.0,5
Mi Amigo Hugo,movie,4.1,346.0,3
REW FFWD,movie,6.6,346.0,6
Backstreet Justice,movie,4.4,346.0,4
Altergeist,movie,3.9,346.0,5
Two Buddies and a Badger,movie,5.8,346.0,2
"Dark, Deadly & Dreadful",movie,5.1,346.0,5
Fatal Pulse,movie,3.5,346.0,5
Hot Child in the City,movie,3.4,346.0,5
DieRy,movie,3.8,346.0,5
Mafia Junction,movie,6.2,346.0,4
Baby Needs a New Pair of Shoes,movie,4.6,346.0,5
Dolores,movie,7.3,346.0,1
Angry Inuk,movie,7.6,346.0,3
Mesto na zemle,movie,7.2,346.0,4
Ivan Maryadaraman,movie,3.7,346.0,4
Memories of Manon,movie,7.9,346.0,5
The Joe Louis Story,movie,5.8,346.0,4
The Torturer,movie,3.9,346.0,5
Sunday Light,movie,6.3,346.0,4
The Man Upstairs,movie,6.4,346.0,4
Beside Bowie: The Mick Ronson Story,movie,7.3,346.0,3
Die Ratten,movie,6.7,346.0,4
I Am Belfast,movie,6.6,346.0,3
Birdy and the Beast,movie,7.0,346.0,6
Captain Jack,movie,6.2,346.0,4
Shawn Mendes: Live in Concert,movie,7.2,346.0,4
Zen and the Art of Landscaping,movie,7.2,346.0,6
Karate Warriors,movie,6.9,346.0,4
La Cucaracha,movie,5.7,346.0,0
Mei man ren sheng,movie,6.9,346.0,4
Scottsboro: An American Tragedy,movie,7.5,346.0,1
Kleingeld,movie,7.4,346.0,6
Natholi Oru Cheriya Meenalla,movie,5.4,346.0,4
The Life of Reilly,movie,8.1,346.0,3
TekWar: TekJustice,movie,6.0,346.0,5
Rhythm on the Range,movie,6.2,346.0,4
The Last Bullet,movie,6.7,346.0,4
The Shasta Triangle,movie,3.6,346.0,5
Pluto's Playmate,movie,6.5,346.0,2
The Spring River Flows East,movie,7.3,346.0,4
Cuckoo on a Choo Choo,movie,6.3,346.0,6
SP FX: Special Effects - The Empire Strikes Back,movie,7.5,346.0,3
Sohni Mahiwal,movie,6.1,346.0,4
Za Marksa...,movie,6.3,346.0,4
Mickey's Mellerdrammer,movie,5.9,346.0,6
$30,movie,7.4,346.0,6
Police Police,movie,5.6,346.0,4
Day of the Full Moon,movie,6.6,346.0,4
For the Weekend,movie,4.1,346.0,5
The Storage 2,movie,5.4,346.0,4
Suden arvoitus,movie,5.6,346.0,2
The Silver Surfer,movie,5.3,346.0,6
Tramontane,movie,6.7,346.0,4
Karmina 2,movie,5.5,346.0,4
Calamity,movie,6.7,346.0,4
3x3D,movie,5.9,346.0,4
Yuniol,movie,7.0,346.0,4
Kung Fu Elliot,movie,6.5,346.0,3
Zanqat Sittat,movie,5.6,346.0,4
Dead End Run,movie,6.4,346.0,0
Terry,movie,4.6,346.0,4
Sins of the Fleshapoids,movie,6.1,346.0,6
"Hideko, the Bus Conductor",movie,7.0,346.0,4
Samuel Bleak,movie,5.0,346.0,5
Bruja and the Lost City of Gold,movie,2.6,346.0,2
Magoo's Puddle Jumper,movie,5.4,346.0,6
Der Minister,movie,6.1,346.0,4
Come to My Voice,movie,6.8,346.0,4
Au petit Marguery,movie,6.8,346.0,4
The Voyage That Shook the World,movie,4.1,346.0,1
Blaze You Out,movie,3.2,346.0,5
Carlos Mencia: Not for the Easily Offended,movie,6.0,346.0,3
Na Wewe,movie,6.9,346.0,6
Odinokim predostavlyaetsya obshchezhitiye,movie,6.7,346.0,4
Steve-O: The Early Years,movie,6.4,346.0,3
Cássia Eller,movie,8.3,346.0,3
Vidange perdue,movie,6.5,346.0,4
The Local,movie,5.6,346.0,4
Mon pote,movie,6.0,346.0,4
Pan 1,movie,4.3,346.0,6
Now You Tell One,movie,7.1,346.0,6
Baciato dalla fortuna,movie,4.8,346.0,4
Empathy Bx,movie,7.3,346.0,6
Are Crooks Dishonest?,movie,6.2,346.0,6
Doctors' Wives,movie,4.6,345.0,4
Mama I Want to Sing,movie,4.3,345.0,0
7:20 Once a Week,movie,5.2,345.0,4
Linda Lovelace for President,movie,4.2,345.0,4
A Christmas Spark,movie,6.0,345.0,4
Milka: Elokuva tabuista,movie,6.1,345.0,4
Land Shark,movie,2.3,345.0,2
Hold My Hand,movie,5.7,345.0,4
Do You Know the Muffin Man?,movie,5.6,345.0,5
An Unknown Compelling Force,movie,6.3,345.0,3
Love Under the Lemon Tree,movie,6.1,345.0,4
The People Next Door,movie,6.2,345.0,4
A Lady Surrenders,movie,6.6,345.0,4
Russ Meyer's Fanny Hill,movie,4.4,345.0,4
Mar de fondo,movie,5.5,345.0,4
Fatal Vows: The Alexandra O'Hara Story,movie,6.0,345.0,4
Final Report,movie,6.2,345.0,4
The Bod Squad,movie,5.7,345.0,4
Bali,movie,6.5,345.0,5
Double Walker,movie,4.4,345.0,5
Gunfight in the Red Sands,movie,5.4,345.0,4
Let It Be Morning,movie,6.7,345.0,4
Faraar,movie,6.8,345.0,4
Delinquent School Girls,movie,4.9,345.0,4
The Brass Legend,movie,6.2,345.0,4
Winners Take All,movie,6.0,345.0,2
Aashik Aawara,movie,4.8,345.0,4
A Mother Betrayed,movie,4.8,345.0,5
Pikadero,movie,6.6,345.0,4
Hotline,movie,5.8,345.0,5
Black Is Beltza,movie,5.9,345.0,4
The Unraveling,movie,5.0,345.0,5
Loan Shark,movie,6.7,345.0,4
Mohini,movie,3.1,345.0,5
Nightmare Shark,movie,3.6,345.0,2
Ruby Jean and Joe,movie,6.8,345.0,4
Jungle Shuffle,movie,4.4,345.0,2
Lady Dragon 2,movie,4.3,345.0,4
Unrated: The Movie,movie,2.2,345.0,0
The Hellfire Club,movie,5.2,345.0,2
Get Back Up,movie,7.2,345.0,3
Como Novio de Pueblo,movie,5.7,345.0,4
The Investigator,movie,5.2,345.0,4
Watermelon Juice,movie,6.8,345.0,6
Taste of Killing,movie,5.9,345.0,4
Kabuliwala,movie,8.0,345.0,4
Love on the Quiet,movie,5.9,345.0,4
Bender: The Beginning,movie,4.6,345.0,2
The Messiah,movie,6.7,345.0,1
Las poquianchis (De los pormenores y otros sucedidos del dominio público que acontecieron a las hermanas de triste memoria a quienes la maledicencia así las bautizó),movie,7.2,354.0,5
Chal Chala Chal,movie,4.7,354.0,4
Locating Silver Lake,movie,5.5,354.0,4
Murder by the Clock,movie,6.2,354.0,5
Only Cloud Knows,movie,6.0,354.0,4
"To Love, Honor and Deceive",movie,5.5,354.0,5
Erasing Frank,movie,5.8,354.0,4
Stranger in the House,movie,4.2,354.0,5
Wayside School,movie,6.3,354.0,2
Smile Pretty,movie,5.1,354.0,4
Jenifer,movie,5.8,354.0,4
Game for Vultures,movie,4.4,354.0,4
UFO: It Is Here,movie,3.7,354.0,5
Killer Dream Home,movie,4.7,354.0,5
Tagged: The Jonathan Wamback Story,movie,7.1,354.0,4
Notes from the Heart Healer,movie,5.9,354.0,4
'V for Vendetta' Unmasked,movie,7.6,354.0,3
MacArthur Park,movie,6.2,354.0,4
That's the Way of the World,movie,6.1,354.0,4
Woman Who Came Back,movie,5.9,354.0,5
Slightly French,movie,6.3,354.0,0
Son of Darkness: To Die for II,movie,3.8,354.0,5
This Was America,movie,3.0,354.0,4
What Color Is Love?,movie,5.7,354.0,4
Mission China,movie,5.9,354.0,4
She Waits,movie,5.7,354.0,5
Gatling Gun,movie,5.6,354.0,2
The Billion Dollar Hobo,movie,4.5,354.0,4
The Facts of Life Goes to Paris,movie,6.3,354.0,4
Original Dirty Pair: Project Eden,movie,6.9,354.0,2
Barnen från Frostmofjället,movie,6.4,354.0,4
Vanished Without a Trace,movie,5.5,354.0,4
The Dead the Damned and the Darkness,movie,3.0,354.0,5
Man in the Moon,movie,6.1,354.0,4
Happy Camp,movie,3.6,354.0,5
Wasabi Tuna,movie,3.1,354.0,4
Paris Countdown,movie,4.5,354.0,5
Et la tendresse?... Bordel!,movie,6.1,354.0,4
Mahmut & Meryem,movie,5.6,354.0,4
Elisa Before the End of the World,movie,6.9,354.0,4
El espejo de los otros,movie,6.2,354.0,4
I Am a Star,movie,3.5,354.0,4
Spring Parade,movie,6.7,354.0,0
Enlighten Up!,movie,6.3,354.0,3
The Little One,movie,7.3,354.0,4
A Valentine Carol,movie,5.2,354.0,4
La ragazza in vetrina,movie,7.0,354.0,4
The Fear Inside,movie,5.8,354.0,5
The Witches Hammer,movie,3.1,354.0,5
Barrio Universitario,movie,3.5,354.0,4
Premachi Goshta,movie,7.3,354.0,4
The Alps,movie,6.9,354.0,3
Avenging Warriors of Shaolin,movie,6.7,354.0,4
A Small Act,movie,7.4,354.0,3
A Judge of Honor,movie,7.7,354.0,4
Love Torn in a Dream,movie,7.1,354.0,4
Agrypnia,movie,6.3,354.0,4
Le dernier des six,movie,6.6,354.0,5
Valley of Ditches,movie,3.8,354.0,5
Familienfest,movie,7.2,354.0,4
Z pekla stestí,movie,4.5,354.0,2
Naughty Boy,movie,5.4,354.0,4
Habana Eva,movie,5.9,354.0,4
Kékszakállú,movie,5.5,354.0,4
Dunav most,movie,6.4,354.0,4
La guerra degli Antò,movie,6.6,354.0,4
Dobogó kövek,movie,4.4,354.0,4
The Exquisite Corpus,movie,7.0,354.0,6
In the Eyes of the World,movie,6.1,354.0,5
Dave Matthews Band: Listener Supported,movie,8.8,354.0,3
The Woman of My Life,movie,5.7,354.0,4
Ramadan fawq al-borkan,movie,5.9,354.0,4
"Glenn, the Flying Robot",movie,3.8,354.0,5
Paw Prints and Baby Steps: On the Set of 'Son of the Mask',movie,4.6,354.0,6
Musical Chairs,movie,5.7,354.0,4
Leh khaletny ahebak,movie,5.0,354.0,4
Night,movie,6.0,354.0,6
How It All Went Down,movie,4.1,354.0,5
Flying,movie,8.6,354.0,0
Poka noch ne razluchit,movie,5.8,354.0,4
Rudolfa mantojums,movie,6.8,354.0,4
Obitateli,movie,7.5,354.0,6
"Pokaz kotku, co masz w srodku",movie,3.4,354.0,4
Gilbert Joins the Airforce?,movie,3.4,354.0,6
Driving Madeleine,movie,6.8,353.0,4
The Escort Wife,movie,5.6,353.0,5
Life and Death in the Warehouse,movie,7.4,353.0,4
A Place Called Home,movie,6.4,353.0,4
Babi Yar. Context,movie,7.8,353.0,1
They/Them/Us,movie,4.9,353.0,4
Gallows Road,movie,5.3,353.0,4
Roof Culture Asia,movie,7.7,353.0,3
The Cuban,movie,6.3,353.0,4
Endangered,movie,6.5,353.0,3
Tutti defunti... tranne i morti,movie,5.8,353.0,5
A Night of Knowing Nothing,movie,7.3,353.0,3
Deranged Granny,movie,5.7,353.0,5
Truth & Lies,movie,4.8,353.0,5
Float Like a Butterfly,movie,5.9,353.0,1
Antaryatri Mahapurush (The Walking God),movie,9.4,353.0,4
Martin Margiela: In His Own Words,movie,7.3,353.0,3
Woman in Motion,movie,8.7,353.0,3
Trouble in the Sky,movie,6.5,353.0,5
Safe at Home!,movie,5.4,353.0,4
Anita B.,movie,5.6,353.0,4
Vivere,movie,5.6,353.0,4
Valiyaperunnal,movie,4.8,353.0,5
No Ordinary Man,movie,6.6,353.0,3
Reflections of Murder,movie,6.8,353.0,5
Skinheads USA: Soldiers of the Race War,movie,6.2,353.0,3
